source_file	source_root	file_kind	source_unit	selection	selected_roots	direct_importers	active_imports	commented_imports	substantive	prose_words	headings	construct_counts	labels	named_items	unit_start_line	unit_end_line	file_lines	file_words	coverage_status	coverage_basis	formalolp_evidence	formal_declarations	audit_note
computability/computability-theory/complete-ce-sets.tex	computability	unit	thm#2	selected	computability	-	0	0	yes	302	Complete Computably Enumerable Sets	-	2	thm#2	47	49	62	302	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/complete-ce-sets.tex	computability	unit	prob#3	selected	computability	-	0	0	yes	302	Complete Computably Enumerable Sets	-	3	prob#3	47	49	62	302	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/computability-theory.tex	computability	chapter	section	selected	computability	-	0	0	yes	119	computability-theory	-	-	section	1	64	64	119	structural_container	aggregator	-	-	Part/chapter container with imports or section assembly; substantive child sections are audited separately.
computability/computability-theory/computable-sets.tex	computability	section	section	selected	computability	-	0	0	yes	194	Computable Sets	defn	-	section	1	43	43	194	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/computable-sets.tex	computability	unit	defn#1	selected	computability	-	0	0	yes	194	Computable Sets	-	1	defn#1	15	30	43	194	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/def-functions-self-reference.tex	computability	section	section	selected	computability	-	0	0	yes	315	Defining Functions using Self-Reference	-	-	section	1	58	58	315	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/equiv-ce-defs.tex	computability	section	section	selected	computability	-	0	0	yes	1104	equiv-ce-defs	thm#thm:ce-equiv; thm#thm:exists-char	-	section	1	166	166	1104	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/equiv-ce-defs.tex	computability	unit	thm#thm:ce-equiv	selected	computability	-	0	0	yes	1104	equiv-ce-defs	; label=thm:ce-equiv	thm:ce-equiv	thm#thm:ce-equiv	140	147	166	1104	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/equiv-ce-defs.tex	computability	unit	thm#thm:exists-char	selected	computability	-	0	0	yes	1104	equiv-ce-defs	; label=thm:exists-char	thm:exists-char	thm#thm:exists-char	140	147	166	1104	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/fixed-point-thm.tex	computability	section	section	selected	computability	-	0	0	yes	1372	The Fixed-Point Theorem	lem#lem:fixed-equiv; thm	-	section	1	244	244	1372	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/fixed-point-thm.tex	computability	unit	lem#lem:fixed-equiv	selected	computability	-	0	0	yes	1372	The Fixed-Point Theorem	; label=lem:fixed-equiv	lem:fixed-equiv	lem#lem:fixed-equiv	104	111	244	1372	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/fixed-point-thm.tex	computability	unit	thm#2	selected	computability	-	0	0	yes	1372	The Fixed-Point Theorem	-	2	thm#2	104	111	244	1372	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/halting-problem.tex	computability	section	section	selected	computability	-	0	0	yes	640	The Halting Problem	thm#thm:halting-problem	-	section	1	102	102	640	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/halting-problem.tex	computability	unit	thm#thm:halting-problem	selected	computability	-	0	0	yes	640	The Halting Problem	; label=thm:halting-problem	thm:halting-problem	thm#thm:halting-problem	23	34	102	640	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/introduction.tex	computability	section	section	selected	computability	-	0	0	yes	556	Introduction	-	-	section	1	69	69	556	missing	none	-	-	The introduction contains substantive universal/minimization or recursive-function claims; no active declaration matches them.
computability/computability-theory/k-1.tex	computability	section	section	selected	computability	-	0	0	yes	461	An Example of Reducibility	prop#prop:k1	-	section	1	84	84	461	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/k-1.tex	computability	unit	prop#prop:k1	selected	computability	-	0	0	yes	461	An Example of Reducibility	; label=prop:k1	prop:k1	prop#prop:k1	14	21	84	461	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/no-universal-function.tex	computability	section	section	selected	computability	-	0	0	yes	303	No Universal Computable Function	thm#thm:no-univ; prob	-	section	1	53	53	303	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/no-universal-function.tex	computability	unit	thm#thm:no-univ	selected	computability	-	0	0	yes	303	No Universal Computable Function	; label=thm:no-univ	thm:no-univ	thm#thm:no-univ	43	49	53	303	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/no-universal-function.tex	computability	unit	prob#2	selected	computability	-	0	0	yes	303	No Universal Computable Function	-	2	prob#2	43	49	53	303	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/non-comp-set.tex	computability	section	section	selected	computability	-	0	0	yes	361	There Are Non-Computable Sets	thm#thm:K-0; thm#thm:K	-	section	1	64	64	361	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/non-comp-set.tex	computability	unit	thm#thm:K-0	selected	computability	-	0	0	yes	361	There Are Non-Computable Sets	; label=thm:K-0	thm:K-0	thm#thm:K-0	42	45	64	361	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/non-comp-set.tex	computability	unit	thm#thm:K	selected	computability	-	0	0	yes	361	There Are Non-Computable Sets	; label=thm:K	thm:K	thm#thm:K	42	45	64	361	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/normal-form.tex	computability	section	section	selected	computability	-	0	0	yes	675	The Normal Form Theorem	thm[Kleene's Normal Form Theorem]#thm:normal-form; thm	-	section	1	100	100	675	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/normal-form.tex	computability	unit	thm#thm:normal-form	selected	computability	-	0	0	yes	675	The Normal Form Theorem	optional=Kleene's Normal Form Theorem; label=thm:normal-form	thm:normal-form	thm#thm:normal-form	86	88	100	675	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/normal-form.tex	computability	unit	thm#2	selected	computability	-	0	0	yes	675	The Normal Form Theorem	-	2	thm#2	86	88	100	675	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/prop-reduce.tex	computability	section	section	selected	computability	-	0	0	yes	689	Properties of Reducibility	prop#prop:trans-red; prob; prop#prop:reduce; prob; prob	-	section	1	103	103	689	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/prop-reduce.tex	computability	unit	prop#prop:trans-red	selected	computability	-	0	0	yes	689	Properties of Reducibility	; label=prop:trans-red	prop:trans-red	prop#prop:trans-red	68	71	103	689	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/prop-reduce.tex	computability	unit	prob#2	selected	computability	-	0	0	yes	689	Properties of Reducibility	-	2	prob#2	68	71	103	689	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/prop-reduce.tex	computability	unit	prop#prop:reduce	selected	computability	-	0	0	yes	689	Properties of Reducibility	; label=prop:reduce	prop:reduce	prop#prop:reduce	68	71	103	689	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/prop-reduce.tex	computability	unit	prob#4	selected	computability	-	0	0	yes	689	Properties of Reducibility	-	4	prob#4	68	71	103	689	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/prop-reduce.tex	computability	unit	prob#5	selected	computability	-	0	0	yes	689	Properties of Reducibility	-	5	prob#5	68	71	103	689	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/reducibility.tex	computability	section	section	selected	computability	-	0	0	yes	544	Reducibility	defn	-	section	1	76	76	544	proved_weaker	manual_fragment_match	FormalOLP/Computability/RelativeComputability.lean;FormalOLP/Computability/TuringReducibility.lean	FormalOLP.Computability.RecursiveIn; FormalOLP.Computability.setManyOneReducible; FormalOLP.Computability.turingReducible	Native relative/oracle and reducibility relations cover a small chain; source computability theory and completeness results are absent.
computability/computability-theory/reducibility.tex	computability	unit	defn#1	selected	computability	-	0	0	yes	544	Reducibility	-	1	defn#1	50	61	76	544	proved_weaker	manual_fragment_match	FormalOLP/Computability/RelativeComputability.lean;FormalOLP/Computability/TuringReducibility.lean	FormalOLP.Computability.RecursiveIn; FormalOLP.Computability.setManyOneReducible; FormalOLP.Computability.turingReducible	Native relative/oracle and reducibility relations cover a small chain; source computability theory and completeness results are absent.
computability/computability-theory/rice-theorem.tex	computability	section	section	selected	computability	-	0	0	yes	985	Rice's Theorem	thm[Rice's Theorem]; cor	-	section	1	128	128	985	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/rice-theorem.tex	computability	unit	thm#1	selected	computability	-	0	0	yes	985	Rice's Theorem	optional=Rice's Theorem	1	thm#1	111	120	128	985	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/rice-theorem.tex	computability	unit	cor#2	selected	computability	-	0	0	yes	985	Rice's Theorem	-	2	cor#2	111	120	128	985	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/russells-paradox.tex	computability	section	section	selected	computability	-	0	0	yes	442	Comparison with Russell's Paradox	-	-	section	1	76	76	442	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/s-m-n.tex	computability	section	section	selected	computability	-	0	0	yes	278	The s-m-n Theorem	thm#thm:s-m-n	-	section	1	45	45	278	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/s-m-n.tex	computability	unit	thm#thm:s-m-n	selected	computability	-	0	0	yes	278	The s-m-n Theorem	; label=thm:s-m-n	thm:s-m-n	thm#thm:s-m-n	19	28	45	278	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/total.tex	computability	section	section	selected	computability	-	0	0	yes	295	Totality is Undecidable	prop#prop:total	-	section	1	62	62	295	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/total.tex	computability	unit	prop#prop:total	selected	computability	-	0	0	yes	295	Totality is Undecidable	; label=prop:total	prop:total	prop#prop:total	19	22	62	295	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/universal-part-function.tex	computability	section	section	selected	computability	-	0	0	yes	266	The Universal Partial Computable Function	thm#thm:univ-comp	-	section	1	43	43	266	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/universal-part-function.tex	computability	unit	thm#thm:univ-comp	selected	computability	-	0	0	yes	266	The Universal Partial Computable Function	; label=thm:univ-comp	thm:univ-comp	thm#thm:univ-comp	12	21	43	266	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability.tex	computability	part	section	selected	computability	-	0	0	yes	64	computability	-	-	section	1	23	23	64	structural_container	aggregator	-	-	Part/chapter container with imports or section assembly; substantive child sections are audited separately.
computability/recursive-functions/bounded-minimization.tex	computability	section	section	selected	computability	-	0	0	yes	472	Bounded Minimization	prop; prob	-	section	1	72	72	472	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/bounded-minimization.tex	computability	unit	prop#1	selected	computability	-	0	0	yes	472	Bounded Minimization	-	1	prop#1	64	69	72	472	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/bounded-minimization.tex	computability	unit	prob#2	selected	computability	-	0	0	yes	472	Bounded Minimization	-	2	prob#2	64	69	72	472	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/composition.tex	computability	section	section	selected	computability	-	0	0	yes	659	Composition	-	-	section	1	91	91	659	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	section	section	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	prop; prop; prop; prop; prop; prop; prop#prop:min-pr; prob; prob; prob; prop	-	section	1	197	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#1	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	1	prop#1	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#2	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	2	prop#2	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#3	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	3	prop#3	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#4	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	4	prop#4	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#5	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	5	prop#5	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#6	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	6	prop#6	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#prop:min-pr	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	; label=prop:min-pr	prop:min-pr	prop#prop:min-pr	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prob#8	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	8	prob#8	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prob#9	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	9	prob#9	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prob#10	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	10	prob#10	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/examples.tex	computability	unit	prop#11	selected	computability	-	0	0	yes	995	Examples of Primitive Recursive Functions	-	11	prop#11	170	185	197	995	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/general-recursive-functions.tex	computability	section	section	selected	computability	-	0	0	yes	260	General Recursive Functions	defn#defn:general-recursive	-	section	1	43	43	260	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/general-recursive-functions.tex	computability	unit	defn#defn:general-recursive	selected	computability	-	0	0	yes	260	General Recursive Functions	; label=defn:general-recursive	defn:general-recursive	defn#defn:general-recursive	20	27	43	260	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/halting-problem.tex	computability	section	section	selected	computability	-	0	0	yes	562	The Halting Problem	thm#thm:halting-problem	-	section	1	95	95	562	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/halting-problem.tex	computability	unit	thm#thm:halting-problem	selected	computability	-	0	0	yes	562	The Halting Problem	; label=thm:halting-problem	thm:halting-problem	thm#thm:halting-problem	50	53	95	562	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/introduction.tex	computability	section	section	selected	computability	-	0	0	yes	413	Introduction	-	-	section	1	56	56	413	missing	none	-	-	The introduction contains substantive universal/minimization or recursive-function claims; no active declaration matches them.
computability/recursive-functions/non-pr-functions.tex	computability	section	section	selected	computability	-	0	0	yes	748	Non-Primitive Recursive Functions	-	-	section	1	99	99	748	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/normal-form.tex	computability	section	section	selected	computability	-	0	0	yes	308	The Normal Form Theorem	thm[Kleene's Normal Form Theorem]#thm:kleene-nf	-	section	1	48	48	308	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/normal-form.tex	computability	unit	thm#thm:kleene-nf	selected	computability	-	0	0	yes	308	The Normal Form Theorem	optional=Kleene's Normal Form Theorem; label=thm:kleene-nf	thm:kleene-nf	thm#thm:kleene-nf	12	21	48	308	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/notation-pr-functions.tex	computability	section	section	selected	computability	-	0	0	yes	357	Primitive Recursion Notations	prob	-	section	1	52	52	357	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/notation-pr-functions.tex	computability	unit	prob#1	selected	computability	-	0	0	yes	357	Primitive Recursion Notations	-	1	prob#1	47	49	52	357	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/other-recursions.tex	computability	section	section	selected	computability	-	0	0	yes	487	Other Recursions	prob	-	section	1	69	69	487	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/other-recursions.tex	computability	unit	prob#1	selected	computability	-	0	0	yes	487	Other Recursions	-	1	prob#1	50	55	69	487	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/partial-functions.tex	computability	section	section	selected	computability	-	0	0	yes	917	Partial Recursive Functions	defn; defn#defn:recursive-fn	-	section	1	120	120	917	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/partial-functions.tex	computability	unit	defn#1	selected	computability	-	0	0	yes	917	Partial Recursive Functions	-	1	defn#1	108	112	120	917	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/partial-functions.tex	computability	unit	defn#defn:recursive-fn	selected	computability	-	0	0	yes	917	Partial Recursive Functions	; label=defn:recursive-fn	defn:recursive-fn	defn#defn:recursive-fn	108	112	120	917	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions-computable.tex	computability	section	section	selected	computability	-	0	0	yes	333	Primitive Recursive Functions are Computable	-	-	section	1	43	43	333	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	section	section	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	defn#defn:primitive-recursion; defn#defn:composition; defn; prop; prop#prop:mult-pr; prob; ex	-	section	1	165	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	unit	defn#defn:primitive-recursion	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	; label=defn:primitive-recursion	defn:primitive-recursion	defn#defn:primitive-recursion	133	162	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	unit	defn#defn:composition	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	; label=defn:composition	defn:composition	defn#defn:composition	133	162	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	unit	defn#3	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	-	3	defn#3	133	162	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	unit	prop#4	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	-	4	prop#4	133	162	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	unit	prop#prop:mult-pr	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	; label=prop:mult-pr	prop:mult-pr	prop#prop:mult-pr	133	162	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	unit	prob#6	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	-	6	prob#6	133	162	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-functions.tex	computability	unit	ex#7	selected	computability	-	0	0	yes	998	Primitive Recursion Functions	-	7	ex#7	133	162	165	998	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-relations.tex	computability	section	section	selected	computability	-	0	0	yes	940	Primitive Recursive Relations	defn; prop; prop; prob; prop	-	section	1	168	168	940	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-relations.tex	computability	unit	defn#1	selected	computability	-	0	0	yes	940	Primitive Recursive Relations	-	1	defn#1	140	156	168	940	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-relations.tex	computability	unit	prop#2	selected	computability	-	0	0	yes	940	Primitive Recursive Relations	-	2	prop#2	140	156	168	940	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-relations.tex	computability	unit	prop#3	selected	computability	-	0	0	yes	940	Primitive Recursive Relations	-	3	prop#3	140	156	168	940	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-relations.tex	computability	unit	prob#4	selected	computability	-	0	0	yes	940	Primitive Recursive Relations	-	4	prob#4	140	156	168	940	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/pr-relations.tex	computability	unit	prop#5	selected	computability	-	0	0	yes	940	Primitive Recursive Relations	-	5	prop#5	140	156	168	940	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/primes.tex	computability	section	section	selected	computability	-	0	0	yes	627	Primes	prob	-	section	1	81	81	627	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/primes.tex	computability	unit	prob#1	selected	computability	-	0	0	yes	627	Primes	-	1	prob#1	76	78	81	627	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/primitive-recursion.tex	computability	section	section	selected	computability	-	0	0	yes	1094	Primitive Recursion	-	-	section	1	133	133	1094	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/recursive-functions.tex	computability	chapter	section	selected	computability	-	0	0	yes	114	recursive-functions	-	-	section	1	58	58	114	structural_container	aggregator	-	-	Part/chapter container with imports or section assembly; substantive child sections are audited separately.
computability/recursive-functions/sequences.tex	computability	section	section	selected	computability	-	0	0	yes	1140	Sequences	prop; prop; prop; prop; prob; prob; prop#prop:subseq; prob	-	section	1	204	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prop#1	selected	computability	-	0	0	yes	1140	Sequences	-	1	prop#1	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prop#2	selected	computability	-	0	0	yes	1140	Sequences	-	2	prop#2	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prop#3	selected	computability	-	0	0	yes	1140	Sequences	-	3	prop#3	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prop#4	selected	computability	-	0	0	yes	1140	Sequences	-	4	prop#4	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prob#5	selected	computability	-	0	0	yes	1140	Sequences	-	5	prob#5	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prob#6	selected	computability	-	0	0	yes	1140	Sequences	-	6	prob#6	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prop#prop:subseq	selected	computability	-	0	0	yes	1140	Sequences	; label=prop:subseq	prop:subseq	prop#prop:subseq	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/sequences.tex	computability	unit	prob#8	selected	computability	-	0	0	yes	1140	Sequences	-	8	prob#8	198	200	204	1140	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/trees.tex	computability	section	section	selected	computability	-	0	0	yes	579	Trees	prop#prop:subtreeseq; prob	-	section	1	79	79	579	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/trees.tex	computability	unit	prop#prop:subtreeseq	selected	computability	-	0	0	yes	579	Trees	; label=prop:subtreeseq	prop:subtreeseq	prop#prop:subtreeseq	70	75	79	579	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/recursive-functions/trees.tex	computability	unit	prob#2	selected	computability	-	0	0	yes	579	Trees	-	2	prob#2	70	75	79	579	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
